Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_pvez_overview,"Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Зоны PvP (или PvE), защита от урона игроков на PvE территории, система нарушителей закона, и прочее.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more.","Zoned PvP (or PvE), protection from PvP damage in PvE areas, lawbreakers system, and more."
pvez_entr_msg_pvp,You entered the open fire zone,You entered the open fire zone,Vstoupili jste do válečné zóny,Sie haben das Kriegsgebiet betreten,Вы вошли в зону открытых боевых действий,Wszedłeś do strefy wojny,Belépett a háborús övezetbe,Sei entrato nella zona di guerra,Entraste en la zona de guerra,Vous êtes entré dans la zone de guerre,您進入戰區,あなたは戦争ゾーンに入った,Você entrou na zona de guerra,您进入战区
pvez_entr_msg_pve,You entered the armistice zone,You entered the armistice zone,Vstoupili jste do zóny příměří,Sie haben die Waffenstillstandszone betreten,Вы вошли в зону перемирия,Wszedłeś do strefy zawieszenia broni,Belépett a fegyverszünet zónába,Sei entrato nella zona dell'armistizio,Entraste en la zona de armisticio,Vous êtes entré dans la zone d'armistice,您進入停戰區,あなたは休戦ゾーンに入った,Você entrou na zona do armistício,您进入停战区
pvez_exit_msg_pvp,You have left the open fire zone,You have left the open fire zone,Opustili jste válečnou zónu,Sie haben das Kriegsgebiet verlassen,Вы покинули зону боевых действий,Opuściłeś strefę wojenną,Ön elhagyta a háború övezetét,Hai lasciato la zona di guerra,Has salido de la zona de guerra,Vous avez quitté la zone de guerre,您已離開戰區,あなたは戦争ゾーンを出ました,Você saiu da zona de guerra,您已离开战区
pvez_exit_msg_pve,You have left the armistice zone,You have left the armistice zone,Opustili jste zónu příměří,Sie haben die Waffenstillstandszone verlassen,Вы покинули зону перемирия,Opuściłeś strefę zawieszenia broni,Ön elhagyta a fegyverszünet zónát,Hai lasciato la zona di armistizio,Saliste de la zona de armisticio,Vous avez quitté la zone d'armistice,你離開了停戰區,あなたは休戦ゾーンを去りました,Você saiu da zona do armistício,你离开了停战区
pvez_cdwn_msg_pvp,You will leave the open fire zone in,You will leave the open fire zone in,Válečnou zónu opustíte za,Sie verlassen das Kriegsgebiet in,Вы покинете зону боевых действий через,Opuścisz strefę wojenną za,Ki fog lépni a háborús övezetben,Uscirai dalla zona di guerra in,Saldrás de la zona de guerra en,Vous quitterez la zone de guerre en,離開戰爭前,戦争ゾーンを離れる前に,Você sairá da zona de guerra em,离开战区前
pvez_cdwn_msg_pve,You will leave the armistice zone in,You will leave the armistice zone in,Zónu příměří opustíte za,Sie verlassen die Waffenstillstandszone in,Вы покинете зону перемирия через,Wyjdziesz ze strefy zawieszenia broni za,Kilép a fegyverszüneti zóna,Uscirai dalla zona di armistizio in,Saldrás de la zona de armisticio en,Vous quitterez la zone d'armistice dans,出口停戰區之前,休憩ゾーンを出るまであと,Você sairá da zona do armistício em,离开停战区还剩
pvez_bnty_msg1,"For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","За голову нарушителя ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker ","For killing the lawbreaker "
pvez_bnty_msg2," you're rewarded with"," you're rewarded with"," you're rewarded with"," you're rewarded with"," вы получили в награду"," you're rewarded with"," you're rewarded with"," you're rewarded with"," you're rewarded with"," you're rewarded with"," you're rewarded with"," you're rewarded with"," you're rewarded with"," you're rewarded with"
pvez_bnty_msg3,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Некоторые из этих вещей были размещены на земле.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.,Some of the items were dropped on the ground near you.
